image_url,status,bytes,local_file
"https://jamesturrell.com/wp-content/themes/jamesturrell/images/favicon.gif",failed_404,0,""
"https://jamesturrell.com/wp-content/uploads/2013/03/0171-99x150.jpg",small_deleted,4885,""
"https://jamesturrell.com/wp-content/uploads/2013/03/131-190x150.jpg",small_deleted,5872,""
"https://jamesturrell.com/wp-content/uploads/2013/03/138a_f271-225x150.jpg",small_deleted,9189,""
"https://jamesturrell.com/wp-content/uploads/2013/03/139a_acrombasis_8_an011-100x150.jpg",small_deleted,4691,""
"https://jamesturrell.com/wp-content/uploads/2013/03/78829_0011-223x150.jpg",small_deleted,10302,""
"https://jamesturrell.com/wp-content/uploads/2013/03/above-betweenbelow1-226x150.jpeg",small_deleted,8926,""
"https://jamesturrell.com/wp-content/uploads/2013/03/acton_indianapolismuseumofart1-180x150.jpeg",small_deleted,4893,""
"https://jamesturrell.com/wp-content/uploads/2013/03/airapparent_pw11-201x150.jpg",small_deleted,13149,""
"https://jamesturrell.com/wp-content/uploads/2013/03/alta_blue_19681-95x150.jpg",small_deleted,2243,""
"https://jamesturrell.com/wp-content/uploads/2013/03/b_00851-225x150.jpg",small_deleted,10489,""
"https://jamesturrell.com/wp-content/uploads/2013/03/backside_of_the_moon1999_image41-191x150.jpg",small_deleted,2617,""
"https://jamesturrell.com/wp-content/uploads/2013/03/blue_pesher_1999_interior1-99x150.jpg",small_deleted,3473,""
"https://jamesturrell.com/wp-content/uploads/2013/03/caisse_de_depot_11-186x150.jpg",small_deleted,10558,""
"https://jamesturrell.com/wp-content/uploads/2013/03/catcairn_flo_1_fpo1-223x150.jpg",small_deleted,12697,""
"https://jamesturrell.com/wp-content/uploads/2013/03/celestial_vault_at_stroom_20081-336x150.jpg",small_deleted,14103,""
"https://jamesturrell.com/wp-content/uploads/2013/03/craiganour_oculus_21-111x150.jpg",small_deleted,5381,""
"https://jamesturrell.com/wp-content/uploads/2013/03/crystal_bridges_interior_21-111x150.jpg",small_deleted,3122,""
"https://jamesturrell.com/wp-content/uploads/2013/03/dawning_1991_med_res1-150x150.jpg",small_deleted,4143,""
"https://jamesturrell.com/wp-content/uploads/2013/03/deer_shelter_interior01_aperture1-225x150.jpg",small_deleted,5678,""
"https://jamesturrell.com/wp-content/uploads/2013/03/duececoup1-100x150.jpeg",small_deleted,4076,""
"https://jamesturrell.com/wp-content/uploads/2013/03/faulconer1-100x150.jpg",small_deleted,5424,""
"https://jamesturrell.com/wp-content/uploads/2013/03/fh_14_rgb1-226x150.jpg",small_deleted,6069,""
"https://jamesturrell.com/wp-content/uploads/2013/03/fh_14_rgb1.jpg",kept,122965,"/Users/amol/Downloads/art_party_artists_v2/images/James_Turrell/6577e379f85c__fh_14_rgb1.jpg"
"https://jamesturrell.com/wp-content/uploads/2013/03/hi_test_19961-106x150.jpg",small_deleted,3188,""
"https://jamesturrell.com/wp-content/uploads/2013/03/jacobscoat1-225x150.jpeg",small_deleted,6912,""
"https://jamesturrell.com/wp-content/uploads/2013/03/jt_k09_boullee01_aniva1-225x150.jpg",small_deleted,14506,""
"https://jamesturrell.com/wp-content/uploads/2013/03/jt_k09_einstein03_aniva1-99x150.jpg",small_deleted,3984,""
"https://jamesturrell.com/wp-content/uploads/2013/03/knight_rise_20011-120x150.jpg",small_deleted,5526,""
"https://jamesturrell.com/wp-content/uploads/2013/03/light_raiment_ii_2008_image071-112x150.jpg",small_deleted,5835,""
"https://jamesturrell.com/wp-content/uploads/2013/03/massed_light_1997_21-225x150.jpg",small_deleted,14219,""
"https://jamesturrell.com/wp-content/uploads/2013/03/mohl_ip_2008_image_11-112x150.jpg",small_deleted,5154,""
"https://jamesturrell.com/wp-content/uploads/2013/03/munson_blue_simulation1-103x150.jpg",small_deleted,3101,""
"https://jamesturrell.com/wp-content/uploads/2013/03/open_sky_20041-103x150.jpg",small_deleted,2914,""
"https://jamesturrell.com/wp-content/uploads/2013/03/panzafoundation_lunette1-108x150.jpeg",small_deleted,3055,""
"https://jamesturrell.com/wp-content/uploads/2013/03/plain_dress_2005_4a1-119x150.jpg",small_deleted,5169,""
"https://jamesturrell.com/wp-content/uploads/2013/03/pomonasky_11-114x150.jpg",small_deleted,5597,""
"https://jamesturrell.com/wp-content/uploads/2013/03/secondwind1-73x150.png",small_deleted,11951,""
"https://jamesturrell.com/wp-content/uploads/2013/03/seeing_double_20081-286x150.jpg",small_deleted,11190,""
"https://jamesturrell.com/wp-content/uploads/2013/03/ship_of_state_2005_21-310x150.jpg",small_deleted,11376,""
"https://jamesturrell.com/wp-content/uploads/2013/03/straightflush1-200x150.jpeg",small_deleted,7524,""
"https://jamesturrell.com/wp-content/uploads/2013/03/tendingbluenasherinside1-116x150.jpg",small_deleted,4054,""
"https://jamesturrell.com/wp-content/uploads/2013/03/the_inner_way_turrell1-190x150.jpg",small_deleted,5958,""
"https://jamesturrell.com/wp-content/uploads/2013/03/the_inner_way_turrell1.jpg",kept,235023,"/Users/amol/Downloads/art_party_artists_v2/images/James_Turrell/2b483f033865__the_inner_way_turrell1.jpg"
"https://jamesturrell.com/wp-content/uploads/2013/03/the_other_horizon_1998_31-117x150.jpg",small_deleted,3379,""
"https://jamesturrell.com/wp-content/uploads/2013/03/third_eye_20081-200x150.jpg",small_deleted,8698,""
"https://jamesturrell.com/wp-content/uploads/2013/03/turrell_p163_21-102x150.jpg",small_deleted,4762,""
"https://jamesturrell.com/wp-content/uploads/2013/03/uic_skyspace_night-magenta1-146x150.jpg",small_deleted,7910,""
"https://jamesturrell.com/wp-content/uploads/2013/03/walker_art_center_sky_pesher_image_21-105x150.jpg",small_deleted,3374,""
"https://jamesturrell.com/wp-content/uploads/2013/03/wedgework_iii_19691-189x150.jpg",small_deleted,3807,""
"https://jamesturrell.com/wp-content/uploads/2013/03/zuos_41-98x150.jpg",small_deleted,2846,""
"https://jamesturrell.com/wp-content/uploads/2013/04/within_without_exterior_61-225x150.jpg",small_deleted,8801,""
"https://jamesturrell.com/wp-content/uploads/2013/05/Alien-Exam-1989_at-Unna-31-145x150.jpg",small_deleted,4034,""
"https://jamesturrell.com/wp-content/uploads/2013/05/CCC_Light_Reignfall_sm1.jpg",small_deleted,55022,""
"https://jamesturrell.com/wp-content/uploads/2013/05/Coconino-2007-Florian1.jpg",kept,215612,"/Users/amol/Downloads/art_party_artists_v2/images/James_Turrell/396591e12e53__Coconino-2007-Florian1.jpg"
"https://jamesturrell.com/wp-content/uploads/2013/05/Panza_Virga1.jpg",small_deleted,45688,""
"https://jamesturrell.com/wp-content/uploads/2013/05/Selene-19841.jpg",small_deleted,89697,""
"https://jamesturrell.com/wp-content/uploads/2013/05/alien_exam_scan1-189x150.jpg",small_deleted,4893,""
"https://jamesturrell.com/wp-content/uploads/2013/05/craignour-6_model1-228x150.jpg",small_deleted,6347,""
"https://jamesturrell.com/wp-content/uploads/2013/05/deep-sky-1984_image-11-213x150.jpg",small_deleted,5704,""
